City,Country,Lat,Lng,Humidity,Hotel Name
jamestown,US,42.097,-79.2353,100,
nishon tumani,UZ,38.694,65.6751,27,
alaghsas,NE,17.0187,8.0168,78,
betioky,MG,-23.7167,44.3833,30,
page,US,36.9147,-111.4558,19,
redwood falls,US,44.5394,-95.1169,88,
hamilton,US,39.1834,-84.5333,92,
freeport,US,40.6576,-73.5832,90,
rovnoye,RU,50.7765,46.0509,46,
calipatria,US,33.1256,-115.5142,52,
laguna,US,38.421,-121.4238,64,
hellin,ES,38.5106,-1.701,14,
sanford,US,28.8006,-81.2731,81,
skiathos,GR,39.1623,23.4909,54,
fort bragg,US,35.139,-79.006,83,
remire-montjoly,GF,4.9167,-52.2667,83,
hotan,CN,37.0997,79.9269,22,
colonia,DE,50.9333,6.95,43,
richland center,US,43.3347,-90.3868,95,
jwaneng,BW,-24.6004,24.7303,9,
kill devil hills,US,36.0307,-75.676,91,
pamandzi,YT,-12.7967,45.2794,58,
choma,ZM,-16.8065,26.9531,13,
tsiombe,MG,-25.3,45.4833,40,
nantucket,US,41.2835,-70.0995,96,
fort meade,US,39.1082,-76.7432,70,
darwin,AU,-12.4611,130.8418,68,
karratha,AU,-20.7377,116.8463,56,
chipinge,ZW,-20.1883,32.6236,13,
saint-francois,FR,46.4154,3.9054,50,
matoury,GF,4.8483,-52.3317,83,
nova xavantina,BR,-14.6667,-52.35,38,
hashtpar,IR,37.8008,48.9037,48,
