City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,iqaluit,63.7506,-68.5145,8.85,87,100,3.6,CA,1721022931
1,mount isa,-20.7333,139.5,21.87,20,0,4.63,AU,1721023082
2,college,64.8569,-147.8028,13.43,90,40,4.12,US,1721023158
3,bolpur,23.6667,87.7167,29.23,48,70,5.89,IN,1721023233
4,albany,42.6001,-73.9662,23.66,82,92,0.98,US,1721023309
5,jamestown,42.097,-79.2353,21.51,100,0,2.57,US,1721022890
6,bredasdorp,-34.5322,20.0403,6.94,88,8,2.49,ZA,1721023461
7,alice springs,-23.7,133.8833,18.75,30,1,4.12,AU,1721023536
8,waitangi,-43.9535,-176.5597,8.79,65,64,2.76,NZ,1721023612
9,altoona,40.5187,-78.3947,21.62,77,58,1.72,US,1721023688
10,grytviken,-54.2811,-36.5092,-2.61,83,89,4.3,GS,1721023764
11,mazagao,-0.115,-51.2894,25.03,93,89,0.82,BR,1721023839
12,port lincoln,-34.7333,135.8667,12.52,66,68,7.73,AU,1721023877
13,cambria,35.5641,-121.0808,20.13,89,24,1.35,US,1721023991
14,coquimbo,-29.9533,-71.3436,8.85,86,100,3.09,CL,1721024067
15,nuuk,64.1835,-51.7216,2.34,100,100,4.12,GL,1721024142
16,arzgir,45.3728,44.2206,30.84,27,1,3.47,RU,1721024218
17,longyearbyen,78.2186,15.6401,6.91,81,75,3.6,SJ,1721024294
18,portage la prairie,49.9728,-98.2926,18.95,95,71,2.86,CA,1721024370
19,mizdah,31.4451,12.9801,29.8,29,1,0.55,LY,1721024445
20,goba,7.0167,39.9833,16.37,69,25,1.39,ET,1721024521
21,whitehorse,60.7161,-135.0538,15.43,63,75,7.2,CA,1721024180
22,lompoc,34.6391,-120.4579,15.08,88,0,2.06,US,1721024528
23,hermanus,-34.4187,19.2345,6.56,80,7,2.91,ZA,1721024749
24,nishon tumani,38.694,65.6751,31.14,27,0,4.12,UZ,1721024825
25,papatowai,-46.5619,169.4708,8.15,85,2,4.91,NZ,1721024900
26,port-aux-francais,-49.35,70.2167,2.62,82,84,13.69,TF,1721024721
27,stanley,54.868,-1.6985,12.88,96,40,2.06,GB,1721025127
28,invercargill,-46.4,168.35,2.87,93,1,1.52,NZ,1721025080
29,castelli,-25.9468,-60.6195,6.81,90,2,1.5,AR,1721025279
30,west island,-12.1568,96.8225,28.99,70,20,9.26,CC,1721025354
31,uturoa,-16.7333,-151.4333,26.81,76,1,6.2,PF,1721025430
32,saynshand,44.8824,110.1163,26.18,50,33,6.61,MN,1721025506
33,sur,22.5667,59.5289,33.92,65,7,5.22,OM,1721025582
34,tiksi,71.6872,128.8694,14.72,43,44,2.39,RU,1721025657
35,afaahiti,-17.75,-149.2833,25.93,82,26,8.25,PF,1721025733
36,aykol,38.1751,77.2132,29.53,31,68,1.02,CN,1721025809
